Date,Name,Current Price,Previous,Price Change,Change %,Latest Vol,Prev Vol,Vol Change %
1-Dec-20,3I INFOTECH LIMITED,3.55,3.4,0.15,4.41,4156000,2500000,0.6622
1-Dec-20,A2Z Infra Engineering,4.25,4.05,0.2,4.94,579000,242000,1.3924
1-Dec-20,Aarvi Encon Ltd.,40,38.9,1.1,2.83,1663,1107,0.5023
1-Dec-20,ABB Power Products and Systems India Ltd.,1253.9,1139.75,114.15,10.02,178000,120000,0.4897
1-Dec-20,ABSLBANETF Ltd.,296.2,293.09,3.11,1.06,897,118,6.6017
1-Dec-20,Adani Enterprises Ltd.,421.9,398.4,23.5,5.9,7846000,6429000,0.2204
1-Dec-20,Adani Power Limited,41.05,38.5,2.55,6.62,27763000,5039000,4.5086
1-Dec-20,Adroit Infotech Ltd.,6.2,6.05,0.15,2.48,5625,2553,1.2033
1-Dec-20,Agro Phos India Ltd.,11.9,11.35,0.55,4.85,332000,63605,4.233
1-Dec-20,Agro Tech Foods Ltd.,771.6,722.25,49.35,6.83,46181,14478,2.1897
1-Dec-20,Ahlada Engineers Ltd.,66.4,55.35,11.05,19.96,28000,11000,1.5455
1-Dec-20,Ahluwalia Contracts (India) Ltd.,257.5,246.15,11.35,4.61,42314,16846,1.5118
1-Dec-20,Airan Ltd.,16.9,16.35,0.55,3.36,117000,89263,0.32
1-Dec-20,Ajmera Realty & Infra India Ltd.,107.45,100.65,6.8,6.76,696000,198000,2.5123
1-Dec-20,Ajooni Biotech Ltd.,31.05,30.35,0.7,2.31,36000,16000,1.25
1-Dec-20,AKG Exim Ltd.,54.1,49.5,4.6,9.29,12000,4000,2
1-Dec-20,Aksh Optifibre Ltd.,6.85,6.65,0.2,3.01,317000,176000,0.7991
1-Dec-20,AksharChem (India) Ltd.,219.3,211.8,7.5,3.54,90192,36298,1.4848
1-Dec-20,Albert David Ltd.,466.75,461.2,5.55,1.2,31781,26029,0.221
1-Dec-20,Alicon Castalloy,337.45,321.35,16.1,5.01,7513,4436,0.6936
1-Dec-20,ALLSEC Technologies,251.05,245.5,5.55,2.26,8447,3476,1.4301
1-Dec-20,Andhra Cement,5.05,4.85,0.2,4.12,697000,150000,3.6458
1-Dec-20,ANI Integrated Services Ltd.,20.35,19.4,0.95,4.9,16800,2400,6
1-Dec-20,Anjani Portland Cement Ltd.,219.3,214.05,5.25,2.45,54706,35887,0.5244
1-Dec-20,Ansal Properties & Infrastructure Ltd.,4.65,4.45,0.2,4.49,277000,117000,1.3617
1-Dec-20,Apollo Pipes Ltd.,692.7,656.55,36.15,5.51,68928,21317,2.2335
1-Dec-20,Aptech Ltd.,123.1,121.45,1.65,1.36,165000,141000,0.1726
1-Dec-20,Archidply Decor Ltd.,21.4,20.5,0.9,4.39,3906,2679,0.458
1-Dec-20,Archies,14.9,14.3,0.6,4.2,178000,123000,0.4391
1-Dec-20,Aries Agro,92.15,86.2,5.95,6.9,421000,205000,1.0512
1-Dec-20,Arihant Foundations & Housing Ltd,16.6,16,0.6,3.75,4881,450,9.8467
1-Dec-20,Arihant Superstructures Ltd.,25.7,24.7,1,4.05,21020,8966,1.3444
1-Dec-20,Arman Financial Services Ltd.,649.1,632.1,17,2.69,7336,4289,0.7104
1-Dec-20,Arrow Greentech Ltd.,48.55,46.5,2.05,4.41,30866,6062,4.0917
1-Dec-20,Arshiya,15.65,15.25,0.4,2.62,91559,70841,0.2925
1-Dec-20,Artemis Medicare Services Ltd.,175.85,163.25,12.6,7.72,11234,5219,1.1525
1-Dec-20,Arvind Fashions Ltd.,134.05,131.35,2.7,2.06,603000,498000,0.2103
1-Dec-20,Arvind SmartSpaces Ltd.,93.95,92.2,1.75,1.9,383000,202000,0.8916
1-Dec-20,Ashima,11.6,11.05,0.55,4.98,140000,105000,0.3326
1-Dec-20,Asian Hotels (West),248.2,243.8,4.4,1.8,1296,1065,0.2169
1-Dec-20,Astec Lifesciences Ltd.,981.85,949.1,32.75,3.45,175000,65737,1.6749
1-Dec-20,Atul Auto Ltd.,173.4,170.5,2.9,1.7,297000,107000,1.7594
1-Dec-20,Automotive Stampings and Assemblies,26.2,25.45,0.75,2.95,12497,5103,1.449
1-Dec-20,B L Kashyap & Sons Ltd.,8.05,7.7,0.35,4.55,129000,83594,0.5461
1-Dec-20,Balaji Telefilms Ltd.,62.8,59.75,3.05,5.1,485000,224000,1.1656
1-Dec-20,Balrampur Chini Mills Ltd.,174.15,164.6,9.55,5.8,3382000,1754000,0.9282
1-Dec-20,Banco Products (India) Ltd.,130.2,128.7,1.5,1.17,265000,217000,0.2204
1-Dec-20,Bang Overseas,20.3,20,0.3,1.5,2550,2127,0.1989
1-Dec-20,Bank of India,46.6,45.05,1.55,3.44,5725000,4827000,0.186
1-Dec-20,Bannari Amman Spinning Mills,92.6,88.8,3.8,4.28,113000,23448,3.8526
1-Dec-20,Banswara Syntex,84.75,81.7,3.05,3.73,62344,8931,5.9806
1-Dec-20,Barak Vally Cements,15.15,14.5,0.65,4.48,4443,2609,0.703
1-Dec-20,Bedmutha Industries,21.35,20.35,1,4.91,16883,2913,4.7957
